id,Email,Subject,Mail_data
tarun,yogendra.singh@daffodilsw.com,"2014_test-section1 - chapter1","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter1</b>,  is due on <b>March 26, 2014</b>.<br /></div>"
sanjay,abhishek.gupta@daffodilsw.com,"2014_test-section1 - chapter1","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter1</b>,  is due on <b>March 26, 2014</b>.<br /></div>"
tarun,yogendra.singh@daffodilsw.com,"2014_test-section1 - chapter2","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter2</b>,  is due on <b>March 27, 2014</b>.<br /></div>"
sanjay,abhishek.gupta@daffodilsw.com,"2014_test-section1 - chapter2","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter2</b>,  is due on <b>March 27, 2014</b>.<br /></div>"
tarun,yogendra.singh@daffodilsw.com,"2014_test-section1 - chapter3","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter3</b>,  is due on <b>April 02, 2014</b>.<br /></div>"
sanjay,abhishek.gupta@daffodilsw.com,"2014_test-section1 - chapter3","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter3</b>,  is due on <b>April 02, 2014</b>.<br /></div>"
tarun,yogendra.singh@daffodilsw.com,"2014_test-section1 - chapter5","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter5</b>,  is due on <b>April 30, 2014</b>.<br /></div>"
sanjay,abhishek.gupta@daffodilsw.com,"2014_test-section1 - chapter5","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section1<br /><br /><br />Your assignment, <b>chapter5</b>,  is due on <b>April 30, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>March 26, 2014</b>.<br /></div>"
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>AssignMent Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>March 26, 2014</b>.<br /></div>"
